scenario_id,scenario_name,success,path_found,path_length,num_waypoints,computation_time,memory_usage,cost_breakdown,error_message,executed_at
0,flat_terrain_00,True,True,10.870994916079571,84,25.112629652023315,0.0,{},,2025-10-17T19:37:45.461149
1,flat_terrain_01,True,True,10.63195861880164,74,6.975757122039795,0.0,{},,2025-10-17T19:37:52.442488
2,flat_terrain_02,True,True,9.854177607389394,71,12.947852849960327,0.0,{},,2025-10-17T19:38:05.397481
3,flat_terrain_03,True,True,10.562790095488545,78,88.32186102867126,0.0,{},,2025-10-17T19:39:33.724110
4,flat_terrain_04,True,True,7.955343335466797,56,12.059295654296875,0.0,{},,2025-10-17T19:39:45.788571
5,flat_terrain_05,True,True,8.669289814790591,66,11.8605637550354,0.0,{},,2025-10-17T19:39:57.652945
6,flat_terrain_06,True,True,11.034149490497624,82,14.61687970161438,0.0,{},,2025-10-17T19:40:12.273442
7,flat_terrain_07,True,True,9.482405337759205,65,32.99233603477478,0.0,{},,2025-10-17T19:40:45.269310
8,flat_terrain_08,True,True,10.377416532482744,75,70.81061100959778,0.0,{},,2025-10-17T19:41:56.084871
9,flat_terrain_09,True,True,11.312343376530977,83,23.05573296546936,0.0,{},,2025-10-17T19:42:19.145973
10,gentle_slope_00,True,True,9.855343335466797,75,49.07019281387329,0.0,{},,2025-10-17T19:43:08.220674
11,gentle_slope_01,True,True,10.891290116020638,78,49.26665639877319,0.0,{},,2025-10-17T19:43:57.491634
12,gentle_slope_02,True,True,9.547750783873242,66,22.517541646957397,0.0,{},,2025-10-17T19:44:20.014138
13,gentle_slope_03,True,True,11.60878738238122,84,105.49933624267578,0.0,{},,2025-10-17T19:46:05.518381
14,gentle_slope_04,True,True,11.510152504834998,81,25.980040073394775,0.0,{},,2025-10-17T19:46:31.503315
15,gentle_slope_05,True,True,9.284523313669295,62,11.256264448165894,0.0,{},,2025-10-17T19:46:42.764656
16,gentle_slope_06,True,True,11.100247790067966,84,24.952492713928223,0.0,{},,2025-10-17T19:47:07.721270
17,gentle_slope_07,True,True,9.627455583932184,73,14.244167804718018,0.0,{},,2025-10-17T19:47:21.978157
18,gentle_slope_08,True,True,9.698202709943788,76,15.07193636894226,0.0,{},,2025-10-17T19:47:37.059112
19,gentle_slope_09,True,True,11.519863032338629,86,39.13697671890259,0.0,{},,2025-10-17T19:48:16.205409
20,gentle_slope_10,True,True,8.76928981479059,67,12.511476755142212,0.0,{},,2025-10-17T19:48:28.722890
21,gentle_slope_11,True,True,9.613849083443586,68,36.45595574378967,0.0,{},,2025-10-17T19:49:05.188769
22,gentle_slope_12,True,True,11.179121633771715,79,53.84077525138855,0.0,{},,2025-10-17T19:49:59.034713
23,gentle_slope_13,True,True,10.373792849660054,74,19.06369161605835,0.0,{},,2025-10-17T19:50:18.103346
24,gentle_slope_14,True,True,9.468191775386117,69,56.16079235076904,0.0,{},,2025-10-17T19:51:14.268032
25,steep_slope_00,True,True,8.357801290212084,57,11.14666748046875,0.0,{},,2025-10-17T19:51:25.426172
26,steep_slope_01,True,True,7.545025746078663,56,4.917701721191406,0.0,{},,2025-10-17T19:51:30.353018
27,steep_slope_02,True,True,9.728475520437778,68,35.471518754959106,0.0,{},,2025-10-17T19:52:05.835306
28,steep_slope_03,True,True,9.75451758622459,68,12.687366008758545,0.0,{},,2025-10-17T19:52:18.534002
29,steep_slope_04,True,True,9.399562625284586,65,36.31228542327881,0.0,{},,2025-10-17T19:52:54.855539
30,steep_slope_05,True,True,9.673792849660055,67,5.274258375167847,0.0,{},,2025-10-17T19:53:00.141568
31,steep_slope_06,True,True,10.280559652011402,73,4.026448011398315,0.0,{},,2025-10-17T19:53:04.177290
32,steep_slope_07,True,True,9.529160685221163,68,0.41414952278137207,0.0,{},,2025-10-17T19:53:04.600824
33,steep_slope_08,True,True,9.503191515220253,73,15.377473592758179,0.0,{},,2025-10-17T19:53:19.987853
34,steep_slope_09,True,True,12.0208152801713,86,0.033251047134399414,0.0,{},,2025-10-17T19:53:20.030342
35,steep_slope_10,True,True,9.538526026776617,69,50.68610095977783,0.0,{},,2025-10-17T19:54:10.727014
36,steep_slope_11,True,True,11.04242199976158,84,56.19647789001465,0.0,{},,2025-10-17T19:55:06.934019
37,steep_slope_12,True,True,9.697376960701577,70,0.6871287822723389,0.0,{},,2025-10-17T19:55:07.631961
38,steep_slope_13,True,True,9.999562625284591,71,59.85055899620056,0.0,{},,2025-10-17T19:56:07.492074
39,steep_slope_14,True,True,10.024511858779887,72,4.478286504745483,0.0,{},,2025-10-17T19:56:11.982761
40,mixed_terrain_00,True,True,9.244272892622359,72,5.571547985076904,0.0,{},,2025-10-17T19:56:17.564141
41,mixed_terrain_01,True,True,10.862304325081547,73,27.095008373260498,0.0,{},,2025-10-17T19:56:44.667893
42,mixed_terrain_02,True,True,9.644879954506866,67,13.167546272277832,0.0,{},,2025-10-17T19:56:57.843911
43,mixed_terrain_03,True,True,9.415359997469169,74,13.454445838928223,0.0,{},,2025-10-17T19:57:11.307211
44,mixed_terrain_04,True,True,9.698469792993086,69,17.43156623840332,0.0,{},,2025-10-17T19:57:28.747323
45,mixed_terrain_05,True,True,10.182138254709908,79,55.101569175720215,0.0,{},,2025-10-17T19:58:23.858941
46,mixed_terrain_06,True,True,11.3259446699066,82,92.85722184181213,0.0,{},,2025-10-17T19:59:56.724894
47,mixed_terrain_07,True,True,10.838113152155518,79,81.83751082420349,0.0,{},,2025-10-17T20:01:18.571151
48,mixed_terrain_08,True,True,8.46143018014774,65,2.872572422027588,0.0,{},,2025-10-17T20:01:21.452470
49,mixed_terrain_09,True,True,9.516719912809968,67,45.27834415435791,0.0,{},,2025-10-17T20:02:06.740138
50,mixed_terrain_10,True,True,10.843787122215351,80,8.26979660987854,0.0,{},,2025-10-17T20:02:15.021617
51,mixed_terrain_11,True,True,10.769896876675094,78,73.67319703102112,0.0,{},,2025-10-17T20:03:28.703506
52,mixed_terrain_12,True,True,8.447823679659145,60,14.205924987792969,0.0,{},,2025-10-17T20:03:42.918543
53,mixed_terrain_13,True,True,9.942009125140478,70,9.050036191940308,0.0,{},,2025-10-17T20:03:51.977284
54,mixed_terrain_14,True,True,10.433464325714253,74,62.198620080947876,0.0,{},,2025-10-17T20:04:54.184453
55,mixed_terrain_15,True,True,10.406256531850035,70,21.981722116470337,0.0,{},,2025-10-17T20:05:16.176802
56,mixed_terrain_16,True,True,9.628548416223685,72,43.771756172180176,0.0,{},,2025-10-17T20:05:59.957132
57,mixed_terrain_17,True,True,9.584596209455192,70,40.53447079658508,0.0,{},,2025-10-17T20:06:40.501855
58,mixed_terrain_18,True,True,10.199494936611664,74,0.20397305488586426,0.0,{},,2025-10-17T20:06:40.715913
59,mixed_terrain_19,True,True,10.763402364486023,77,6.563493728637695,0.0,{},,2025-10-17T20:06:47.289547
60,obstacle_field_00,True,True,9.274278620067058,71,20.62543272972107,0.0,{},,2025-10-17T20:07:07.937610
61,obstacle_field_01,True,True,10.552739589149706,75,58.3064227104187,0.0,{},,2025-10-17T20:08:06.250713
62,obstacle_field_02,True,True,10.50285153638505,85,14.877936601638794,0.0,{},,2025-10-17T20:08:21.134449
63,obstacle_field_03,True,True,9.769896876675093,68,33.1443657875061,0.0,{},,2025-10-17T20:08:54.282845
64,obstacle_field_04,True,True,10.468124086713193,80,5.233187437057495,0.0,{},,2025-10-17T20:08:59.526406
65,obstacle_field_05,True,True,9.272087748371073,67,26.82821822166443,0.0,{},,2025-10-17T20:09:26.383513
66,obstacle_field_06,True,True,9.851306778023005,71,4.00991153717041,0.0,{},,2025-10-17T20:09:30.398927
67,obstacle_field_07,True,True,10.880632547797303,84,17.075487852096558,0.0,{},,2025-10-17T20:09:47.483723
68,obstacle_field_08,True,True,9.447410805038045,67,17.52066135406494,0.0,{},,2025-10-17T20:10:05.013375
69,obstacle_field_09,True,True,10.17994738301393,75,65.54554748535156,0.0,{},,2025-10-17T20:11:10.562996
70,obstacle_field_10,True,True,8.463888134893025,62,2.4364640712738037,0.0,{},,2025-10-17T20:11:13.029150
71,obstacle_field_11,True,True,9.223146736326116,66,18.479320764541626,0.0,{},,2025-10-17T20:11:31.517642
72,obstacle_field_12,True,True,9.91699220297224,70,0.8479156494140625,0.0,{},,2025-10-17T20:11:32.374418
73,obstacle_field_13,True,True,8.849601676734029,65,9.089570760726929,0.0,{},,2025-10-17T20:11:41.473141
74,obstacle_field_14,True,True,8.474205724281155,58,2.9858241081237793,0.0,{},,2025-10-17T20:11:44.467578
75,obstacle_field_15,True,True,10.193480987716619,75,26.264445066452026,0.0,{},,2025-10-17T20:12:10.738208
76,obstacle_field_16,True,True,10.312683355366188,71,5.487466335296631,0.0,{},,2025-10-17T20:12:16.231321
77,obstacle_field_17,True,True,7.468949835955391,56,1.4047274589538574,0.0,{},,2025-10-17T20:12:17.640522
78,obstacle_field_18,True,True,8.630326413298567,63,11.063366889953613,0.0,{},,2025-10-17T20:12:28.708058
79,obstacle_field_19,True,True,10.429500664056361,75,11.246153593063354,0.0,{},,2025-10-17T20:12:39.958366
80,narrow_passage_00,True,True,9.471674873749974,66,11.775899648666382,0.0,{},,2025-10-17T20:12:51.743283
81,narrow_passage_01,True,True,8.944199996836456,64,1.6705119609832764,0.0,{},,2025-10-17T20:12:53.420750
82,narrow_passage_02,True,True,9.522733861705017,66,7.271443843841553,0.0,{},,2025-10-17T20:13:00.699265
83,narrow_passage_03,True,True,9.511051149863103,72,30.245826244354248,0.0,{},,2025-10-17T20:13:30.952097
84,narrow_passage_04,True,True,11.094160945387024,80,79.99762034416199,0.0,{},,2025-10-17T20:14:50.957987
85,narrow_passage_05,True,True,11.727382688146283,89,57.59556436538696,0.0,{},,2025-10-17T20:15:48.563333
86,narrow_passage_06,True,True,10.165593236182001,75,1.9648399353027344,0.0,{},,2025-10-17T20:15:50.535133
87,narrow_passage_07,True,True,7.383916251784791,52,1.659496545791626,0.0,{},,2025-10-17T20:15:52.201529
88,narrow_passage_08,True,True,9.91842501409895,67,16.996159315109253,0.0,{},,2025-10-17T20:16:09.204668
89,narrow_passage_09,True,True,8.286374206530073,58,4.534486532211304,0.0,{},,2025-10-17T20:16:13.746847
90,complex_3d_00,True,True,10.024851837615088,70,7.5309672355651855,0.0,{},,2025-10-17T20:16:21.295913
91,complex_3d_01,True,True,10.808447403546014,78,52.36067271232605,0.0,{},,2025-10-17T20:17:13.672680
92,complex_3d_02,True,True,11.08664128957938,79,64.72321677207947,0.0,{},,2025-10-17T20:18:18.413321
93,complex_3d_03,True,True,9.599907811232768,71,1.6124579906463623,0.0,{},,2025-10-17T20:18:20.043208
94,complex_3d_04,True,True,9.792801030046217,75,6.451254367828369,0.0,{},,2025-10-17T20:18:26.510941
95,complex_3d_05,True,True,10.049868759783323,70,28.341564893722534,0.0,{},,2025-10-17T20:18:54.871067
96,complex_3d_06,True,True,10.781652484302905,77,50.70014405250549,0.0,{},,2025-10-17T20:19:45.588345
97,complex_3d_07,True,True,11.235242322789126,83,72.74622440338135,0.0,{},,2025-10-17T20:20:58.351952
98,complex_3d_08,True,True,11.22205390403461,87,22.174095153808594,0.0,{},,2025-10-17T20:21:20.543878
99,complex_3d_09,True,True,10.13947827460929,70,4.545715808868408,0.0,{},,2025-10-17T20:21:25.106754
